Year,Cumulative US Wind Capacity (GW),Average Wind Turbine Price ($/kW) *,Installed Wind Power Project Cost (2016 $/kW)
1982,,,
1983,,,$4309 
1984,,,$4596 
1985,,,$3300 
1986,,,$3463 
1987,,,$2125 
1988,,,
1989,,,$2719 
1990,,,$3077 
1991,,,
1992,,,$2353 
1993,,,$2441 
1994,,,$1903 
1995,,,$1966 
1996,,,$1603 
1997,,$1561.37,$2597 
1998,1.512,$1195.17,$1479 
1999,2.385,$774.25,$1736 
2000,2.456,$856.64,$1748 
2001,4.147,$817.65,$1372 
2002,4.557,$1078.59,$1604 
2003,6.222,$1094.19,$1457 
2004,6.619,$1346.61,$1342 
2005,8.993,$1380.79,$1575 
2006,11.450,$1510.37,$1758 
2007,16.702,$1716.61,$1934 
2008,25.065,$1593.56,$2163 
2009,35.068,$1579.56,$2365 
2010,40.283,$1425.12,$2361 
2011,46.930,$1225.50,$2263 
2012,60.012,$1247.62,$2044 
2013,61.110,$1064.02,$1926 
2014,65.877,$1259.79,$1793 
2015,73.992,$881.31,$1618 
2016,82.143,$1561.37,$1587 
,Source Figure 2,Source Figure 40,Source Figure 41

